"DISTRICT","WARD_CURRENT","VILLAGE.SHEHIA","HumanFEMALEs_vill","HumanMALES_vill","DogsOwned","DogsStray_estimate1","DogsStray_estimate2","Easting","Northing","Mainland.Island","DW","ward_match","totalHumans","DogsStray_estimate_mean","totalDogs","month"
"Mkoani","Ngombeni","Ng'ombeni",1725,1655,9,10,10,571804,9407298,"Mainland","Mkoani_Ng'ombeni",89,3380,10,19,30
"Mkoani","Ngombeni","Mbuyuni",907,776,0,4,4,571305,9407072,"Mainland","Mkoani_Mbuyuni",111,1683,4,4,30
"Mkoani","Uweleni","Uweleni",1449,1334,3,20,20,572377,9403244,"Mainland","Mkoani_Uweleni",107,2783,20,23,30
"Mkoani","Uweleni","Mbuguani",798,731,24,8,8,573227,9406736,"Mainland","Mkoani_Mbuguani",106,1529,8,32,30
"Mkoani","Uweleni","Changaweni",1073,1026,16,21,21,575043,9405376,"Mainland","Mkoani_Changaweni",121,2099,21,37,30
"Mkoani","Makombeni","Makombeni",1056,1068,4,6,6,572444,9410220,"Mainland","Mkoani_Makombeni",90,2124,6,10,30
"Mkoani","Makoongwe","Makoongwe",914,916,0,0,0,NA,NA,"Island","Mkoani_Makoongwe",91,1830,0,0,30
"Mkoani","Wambaa","Wambaa",1575,1962,36,0,0,574654,9413638,"Mainland","Mkoani_Wambaa",105,3537,0,36,30
"Mkoani","Wambaa","Chumbageni",1242,1320,65,36,36,577886,9411200,"Mainland","Mkoani_Chumbageni",110,2562,36,101,30
"Mkoani","Mkanyageni","Mkanyageni",1774,1701,19,9,9,574007,9403284,"Mainland","Mkoani_Mkanyageni",93,3475,9,28,30
"Mkoani","Mkanyageni","Shidi",535,533,7,0,0,572279,9404380,"Mainland","Mkoani_Shidi",92,1068,0,7,30
"Mkoani","Mkanyageni","Michenzani",2045,2184,25,14,14,570943,9402632,"Mainland","Mkoani_Michenzani",94,4229,14,39,30
